organization,document_type,title,reason,requested_url,final_url,http_status,content_type,content_length_bytes,response_sha256,verified_at_utc,error
MobilityData,standard,General Bikeshare Feed Specification reference,Defines public vehicle fields and identifier-rotation requirements,https://github.com/MobilityData/gbfs/blob/master/gbfs.md,https://github.com/MobilityData/gbfs/blob/master/gbfs.md,200,text/html; charset=utf-8,1210736,3cb03a58e98768a1272fc3f2ce6084ff468107a4793b17ffb14de93e5d97268a,2026-07-13T16:07:45.743521+00:00,
MobilityData,registry,GBFS systems registry,Defines the public-feed sampling frame,https://github.com/MobilityData/gbfs/blob/master/systems.csv,https://github.com/MobilityData/gbfs/blob/master/systems.csv,200,text/html; charset=utf-8,1045252,14eb388325a23a61093b2a734795eefd37041c577057d8c75ddcc00d9fbbcdf7,2026-07-13T16:07:46.586150+00:00,
Open Mobility Foundation,guidance,MDS Privacy Guide for Cities,Micromobility data-governance guidance,https://www.openmobilityfoundation.org/introducing-the-mds-privacy-guide-for-cities/,https://www.openmobilityfoundation.org/introducing-the-mds-privacy-guide-for-cities/,200,text/html; charset=UTF-8,206982,c94a5f7a1fe96c3a9f964fb179861b6f44e27a29050b0473b87dbc6941ef33e0,2026-07-13T16:07:47.427342+00:00,
European Data Protection Board,guidance,Guidelines 01/2020 on processing personal data in connected vehicles and mobility related applications,Connected-mobility privacy guidance,https://www.edpb.europa.eu/documents/guideline/guidelines-012020-on-processing-personal-data-in-the-context-of-connected_en,https://www.edpb.europa.eu/documents/guideline/guidelines-012020-on-processing-personal-data-in-the-context-of-connected_en,200,text/html; charset=utf-8,45871,9cb8945fa2912fa2b7e27acc6562f9aa5c716b2feabf35546f1fa2036df4a5bb,2026-07-13T16:07:47.923541+00:00,
European Union,regulation,Regulation EU 2023/1542 concerning batteries and waste batteries,Formal battery and end-of-life requirements,https://eur-lex.europa.eu/eli/reg/2023/1542/oj,https://eur-lex.europa.eu/eli/reg/2023/1542/oj,202,text/html; charset=UTF-8,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,2026-07-13T16:07:49.354595+00:00,
National Institute of Standards and Technology,guidance,SP 800-88 Rev. 1 Guidelines for Media Sanitization,Data sanitization and disposition guidance,https://csrc.nist.gov/pubs/sp/800/88/r1/final,https://csrc.nist.gov/pubs/sp/800/88/r1/final,200,text/html; charset=utf-8,43061,0469bb1221508d6227aa59daa9ecaf26f92eafd24b1616f991b4987233296154,2026-07-13T16:07:49.472295+00:00,
National Institute of Standards and Technology,guidance,SP 800-161 Rev. 1 Cybersecurity Supply Chain Risk Management Practices,Supply-chain risk guidance,https://csrc.nist.gov/pubs/sp/800/161/r1/final,https://csrc.nist.gov/pubs/sp/800/161/r1/final,200,text/html; charset=utf-8,49326,dc733f32f0bce132d7d38480fffe8a868404bdfa4df5de649ce30d47b972d262,2026-07-13T16:07:50.036507+00:00,
Dott,privacy policy,Privacy Policy,High-coverage GBFS operator,https://ridedott.com/privacy/,https://ridedott.com/privacy/,200,text/html; charset=UTF-8,113295,03bce64d80a494514f1e7f986033ca806c4da19a5d74bf53f059fe8f2ed02e9b,2026-07-13T16:07:50.351779+00:00,
Bird,privacy policy,Privacy Policy,High-coverage GBFS operator,https://bird.co/privacy/,https://bird.co/privacy/,200,text/html; charset=utf-8,119546,4b5a3418d190bad6fe179ad37a2d57408c86973a3bd5b2bdd107e5ee7168c342,2026-07-13T16:07:52.253920+00:00,
Lime,privacy policy,Privacy Notice,High-coverage GBFS operator,https://www.li.me/legal/privacy-policy,,,,,,2026-07-13T16:07:52.301921+00:00,HTTPError: HTTP Error 403: Forbidden
Voi,privacy policy,Privacy Policy,Motorized shared-micromobility operator,https://www.voi.com/legal/privacy-policy,https://www.voi.com/legal/privacy-policy,200,text/html; charset=utf-8,35131,b4538bc15119e2c99385a45e4d3387ad0c05fc5f941d391fc49be136a6fbf824,2026-07-13T16:07:55.425336+00:00,
Bolt,privacy policy,Global Privacy Notice for Passengers,Motorized shared-micromobility operator,https://bolt.eu/en/privacy/privacy-for-riders/,,,,,,2026-07-13T16:07:55.663437+00:00,HTTPError: HTTP Error 308: Permanent Redirect
Donkey Republic,privacy policy,Privacy Policy,High-coverage GBFS operator,https://www.donkey.bike/privacy-policy,https://www.donkey.bike/privacy-policy,200,text/html; charset=utf-8,82732,ec2f489f7a78cf17a900feb1f8dd3d401f2656ed3461949635dae7d85961a1b5,2026-07-13T16:07:58.832838+00:00,
Beryl,privacy policy,Privacy Notice,Shared bike and scooter operator,https://beryl.cc/privacy,https://beryl.cc/privacy,200,text/html; charset=UTF-8,116330,51fae81d8f96141ec630b527a56b335d2374416dfb290a7b825cb9d4713db718,2026-07-13T16:07:58.880620+00:00,
Zeus Scooters,privacy policy,Privacy Policy,Primary operator-document sample,https://zeusscooters.com/privacy-policy/,https://zeusscooters.com/privacy-policy/,200,text/html; charset=UTF-8,173370,caf1d79bf52bdff3cf4b010f85bb81559bafdca08316e87c0e2b38ce00a9c503,2026-07-13T16:07:59.995386+00:00,
Veo,privacy policy,Veo Privacy Policy,Primary operator-document sample,https://www.veoride.com/privacy-policy/,https://www.veoride.com/privacy-policy/,202,text/html,185,75f7d106e817ae1249ec92f063c36570861d06f4204c2f9c3971373d7c32729a,2026-07-13T16:08:00.071049+00:00,
Spin,privacy policy,Privacy Policy,Primary operator-document sample,https://www.spin.app/policies/privacy-policy,https://www.spin.app/policies/privacy-policy,200,text/html; charset=utf-8,110941,def6f4961f100ef7b341f590ad740fcd643efd971621d14fb7e06f0c8f484841,2026-07-13T16:08:00.196192+00:00,
Check,privacy policy,Privacy Statement,Primary operator-document sample,https://ridecheck.app/en/privacystatement,https://ridecheck.app/en/privacystatement,200,text/html; charset=utf-8,85295,3f8ab11c64eea2e17de6d2f779a809a8e20cb9c95493ed0d77cd81a9f73ba42c,2026-07-13T16:08:00.259372+00:00,
nextbike,privacy policy,Privacy Notice nextbike App,Primary operator-document sample,https://www.nextbike.de/wp-content/uploads/2024/04/2024-04-14_Privacy-Notice-APP_nextbike_eng-2.pdf,https://www.nextbike.de/wp-content/uploads/2024/04/2024-04-14_Privacy-Notice-APP_nextbike_eng-2.pdf,200,application/pdf,401654,8984033165332a49cabb128c9b63c83b9d2de469c5e29529fd272a31fd4a3929,2026-07-13T16:08:01.243390+00:00,
nextbike Czech Republic,privacy policy,Data Privacy Policy,Primary operator-document sample,https://nextbikeczech.com/en/data-privacy-policy-dpp/,,,,,,2026-07-13T16:08:02.324014+00:00,HTTPError: HTTP Error 404: Not Found
Cooltra,privacy policy,Privacy Policy,Primary operator-document sample,https://cooltra.com/nl/privacy-policy/,https://cooltra.com/nl/privacy-policy/,200,text/html; charset=UTF-8,117993,b6100aba2e548dc565e0791dff12f47a9cc90e76245acc5bcffce8e744388907,2026-07-13T16:08:07.248913+00:00,
Mobility Parc,document landing page,Service website with personal-data-policy link,Primary operator-document sample; direct policy URL requires extraction,https://www.mobility-parc.net/m/welcome.do?communityId=100,https://www.mobility-parc.net/m/welcome.do?communityId=100,200,text/html;charset=UTF-8,38590,a7af3bd7014651b8c76446c2da7b792ade38712ece816b7ff62c78fb84669380,2026-07-13T16:08:07.327132+00:00,
