dialogue_id,utterance_id,speaker,overall_turn,overall_position,sales_turn,sales_position,elapsed_seconds,time_position,word_count,char_count,text,continuing_dialogue,providing_information,goal_acceptance
0,0_1,sales,0,0.0,0,0.0,0.0,0.0,1,22,こんにちは！本日はどのような商品をお探しですか？,positive,positive,positive
0,0_2,user,1,0.041666666666666664,,,54.0,0.05914567360350493,1,9,ワイヤレスイヤホン,,,
0,0_3,sales,2,0.08333333333333333,1,0.058823529411764705,76.0,0.0832420591456736,1,6,承知しました！,neutral,neutral,neutral
0,0_4,sales,3,0.125,2,0.11764705882352941,111.0,0.12157721796276014,4,33,イヤホンの主な利用シーンはなんでしょうか？ A:お仕事 B:音楽鑑賞 C:その他,positive,positive,neutral
0,0_5,user,4,0.16666666666666666,,,127.0,0.13910186199342825,1,1,B,,,
0,0_6,sales,5,0.20833333333333334,3,0.17647058823529413,141.0,0.15443592552026286,1,13,ご回答ありがとうございます。,positive,positive,neutral
0,0_7,sales,6,0.25,4,0.23529411764705882,198.0,0.21686746987951808,4,47,音楽鑑賞をする上で重視する点はなんでしょうか？ A:音質 B:コストパフォーマンス C:ノイズキャンセル機能,positive,positive,neutral
0,0_8,user,7,0.2916666666666667,,,205.0,0.22453450164293537,1,1,B,,,
0,0_9,sales,8,0.3333333333333333,5,0.29411764705882354,244.0,0.2672508214676889,1,32,ありがとうございます！お客様の満足する可能性が高い商品はこちらです！,positive,positive,positive
0,0_11,sales,9,0.375,6,0.35294117647058826,275.0,0.30120481927710846,1,33,コストパフォーマンス良く音楽鑑賞をすることができるモデルとなります。,positive,positive,neutral
0,0_13,sales,10,0.4166666666666667,7,0.4117647058823529,300.0,0.32858707557502737,1,31,ノイズキャンセル機能や防水性を求める場合はこちらがおすすめです。,positive,positive,neutral
0,0_14,sales,11,0.4583333333333333,8,0.47058823529411764,324.0,0.3548740416210296,1,17,価格と機能面を比べてご検討ください！,positive,neutral,neutral
0,0_15,user,12,0.5,,,394.0,0.4315443592552026,1,25,これらの商品にはどんな魅力があるのか教えてください,,,
0,0_16,sales,13,0.5416666666666666,9,0.5294117647058824,440.0,0.4819277108433735,1,8,回答を生成中です。,neutral,neutral,neutral
0,0_17,sales,14,0.5833333333333334,10,0.5882352941176471,500.0,0.547645125958379,2,52,これらのAeroSound Airシリーズのワイヤレスイヤホンは軽量でコードレスな点が大きな魅力の一つです。,positive,positive,positive
